#X             Y              YFD            ERROR          
0              0              0              0              
0.00392699     -0.00316325    -0.00316364    3.89694e-07    
0.00785398     -0.00622695    -0.00622771    7.6162e-07     
0.011781       -0.00919247    -0.00919358    1.11629e-06    
0.015708       -0.0120612     -0.0120626     1.45422e-06    
0.019635       -0.0148344     -0.0148362     1.77588e-06    
0.0235619      -0.0175135     -0.0175156     2.08177e-06    
0.0274889      -0.0200998     -0.0201022     2.37233e-06    
0.0314159      -0.0225945     -0.0225972     2.64802e-06    
0.0353429      -0.024999      -0.0250019     2.90929e-06    
0.0392699      -0.0273145     -0.0273176     3.15656e-06    
0.0431969      -0.0295422     -0.0295456     3.39024e-06    
0.0471239      -0.0316834     -0.0316871     3.61076e-06    
0.0510509      -0.0337394     -0.0337432     3.8185e-06     
0.0549779      -0.0357112     -0.0357152     4.01384e-06    
0.0589049      -0.0376001     -0.0376043     4.19717e-06    
0.0628319      -0.0394073     -0.0394117     4.36885e-06    
0.0667588      -0.0411339     -0.0411384     4.52923e-06    
0.0706858      -0.0427811     -0.0427858     4.67866e-06    
0.0746128      -0.04435       -0.0443548     4.81749e-06    
0.0785398      -0.0458418     -0.0458467     4.94604e-06    
0.0824668      -0.0472575     -0.0472626     5.06462e-06    
0.0863938      -0.0485983     -0.0486035     5.17356e-06    
0.0903208      -0.0498653     -0.0498705     5.27316e-06    
0.0942478      -0.0510595     -0.0510648     5.3637e-06     
0.0981748      -0.052182      -0.0521874     5.44548e-06    
0.102102       -0.0532338     -0.0532393     5.51879e-06    
0.106029       -0.0542161     -0.0542217     5.58388e-06    
0.109956       -0.0551298     -0.0551355     5.64103e-06    
0.113883       -0.0559761     -0.0559818     5.6905e-06     
0.11781        -0.0567558     -0.0567616     5.73254e-06    
0.121737       -0.0574701     -0.0574759     5.76739e-06    
0.125664       -0.0581199     -0.0581257     5.79529e-06    
0.129591       -0.0587063     -0.0587121     5.81648e-06    
0.133518       -0.0592301     -0.0592359     5.83118e-06    
0.137445       -0.0596925     -0.0596983     5.83961e-06    
0.141372       -0.0600943     -0.0601001     5.84199e-06    
0.145299       -0.0604366     -0.0604424     5.83852e-06    
0.149226       -0.0607202     -0.0607261     5.82941e-06    
0.153153       -0.0609462     -0.060952      5.81485e-06    
0.15708        -0.0611155     -0.0611213     5.79504e-06    
0.161007       -0.061229      -0.0612348     5.77017e-06    
0.164934       -0.0612877     -0.0612934     5.74042e-06    
0.168861       -0.0612925     -0.0612982     5.70596e-06    
0.172788       -0.0612442     -0.0612499     5.66697e-06    
0.176715       -0.0611439     -0.0611495     5.62362e-06    
0.180642       -0.0609923     -0.0609979     5.57607e-06    
0.184569       -0.0607905     -0.060796      5.52448e-06    
0.188496       -0.0605393     -0.0605447     5.46901e-06    
0.192423       -0.0602396     -0.060245      5.40981e-06    
0.19635        -0.0598922     -0.0598976     5.34702e-06    
0.200277       -0.0594981     -0.0595034     5.28079e-06    
0.204204       -0.0590582     -0.0590634     5.21126e-06    
0.208131       -0.0585732     -0.0585783     5.13856e-06    
0.212058       -0.0580441     -0.0580491     5.06283e-06    
0.215984       -0.0574717     -0.0574767     4.9842e-06     
0.219911       -0.0568569     -0.0568618     4.90279e-06    
0.223838       -0.0562004     -0.0562053     4.81872e-06    
0.227765       -0.0555033     -0.055508      4.73211e-06    
0.231692       -0.0547662     -0.0547709     4.64308e-06    
0.235619       -0.0539901     -0.0539947     4.55175e-06    
0.239546       -0.0531757     -0.0531802     4.45821e-06    
0.243473       -0.052324      -0.0523283     4.36258e-06    
0.2474         -0.0514356     -0.0514398     4.26496e-06    
0.251327       -0.0505114     -0.0505156     4.16546e-06    
0.255254       -0.0495523     -0.0495564     4.06417e-06    
0.259181       -0.0485591     -0.048563      3.96118e-06    
0.263108       -0.0475325     -0.0475363     3.8566e-06     
0.267035       -0.0464733     -0.0464771     3.75051e-06    
0.270962       -0.0453825     -0.0453861     3.64301e-06    
0.274889       -0.0442606     -0.0442642     3.53417e-06    
0.278816       -0.0431086     -0.043112      3.42409e-06    
0.282743       -0.0419272     -0.0419306     3.31284e-06    
0.28667        -0.0407173     -0.0407205     3.20051e-06    
0.290597       -0.0394795     -0.0394826     3.08716e-06    
0.294524       -0.0382147     -0.0382177     2.97289e-06    
0.298451       -0.0369236     -0.0369265     2.85776e-06    
0.302378       -0.035607      -0.0356098     2.74185e-06    
0.306305       -0.0342657     -0.0342683     2.62522e-06    
0.310232       -0.0329004     -0.0329029     2.50794e-06    
0.314159       -0.0315119     -0.0315143     2.39009e-06    
0.318086       -0.0301009     -0.0301032     2.27172e-06    
0.322013       -0.0286682     -0.0286704     2.15289e-06    
